Outer_ID,Repeat,Fold,Target,Metric,Difference_k12_minus_k17
R04_F01,4,1,YS,RMSE,-0.9562089090130215
R04_F01,4,1,YS,MAE,-0.9631830822294987
R04_F01,4,1,YS,NRMSE,-0.008113409963722173
R04_F01,4,1,YS,NMAE,-0.008172585658415998
R04_F01,4,1,YS,MAPE_Percent,-0.2384819545119541
R04_F02,4,2,El,R2,0.009155191377868133
R04_F02,4,2,El,RMSE,-0.05419426905169189
R04_F02,4,2,El,MAE,0.08655050064425174
R04_F02,4,2,El,NRMSE,-0.008027069788855146
R04_F02,4,2,El,NMAE,0.012819564154820329
R04_F02,4,2,El,MAPE_Percent,1.1996424730229656
R04_F02,4,2,Macro,R2,0.019048181880774395
R04_F02,4,2,Macro,NRMSE,-0.029503408827971978
R04_F02,4,2,Macro,NMAE,-0.017459877323490303
R04_F02,4,2,UTS,R2,0.019584927880637593
R04_F02,4,2,UTS,RMSE,-3.437616676544664
R04_F02,4,2,UTS,MAE,-3.1840655335516956
R04_F02,4,2,UTS,NRMSE,-0.03486324396570328
R04_F02,4,2,UTS,NMAE,-0.032291806778927734
R04_F02,4,2,UTS,MAPE_Percent,-0.8750560011819211
R04_F02,4,2,YS,R2,0.028404426383817793
R04_F02,4,2,YS,RMSE,-5.157419334152436
R04_F02,4,2,YS,MAE,-3.7202439877137436
R04_F02,4,2,YS,NRMSE,-0.04561991272935739
R04_F02,4,2,YS,NMAE,-0.03290738934636356
R04_F02,4,2,YS,MAPE_Percent,-1.432663550549787
R04_F03,4,3,El,R2,0.015637220530804408
R04_F03,4,3,El,RMSE,-0.1251976092873508
R04_F03,4,3,El,MAE,0.07828872078727556
R04_F03,4,3,El,NRMSE,-0.016964800810686298
R04_F03,4,3,El,NMAE,0.010608449805388998
R04_F03,4,3,El,MAPE_Percent,6.651152351916561
R04_F03,4,3,Macro,R2,-0.013101493273543707
R04_F03,4,3,Macro,NRMSE,0.015533377374931878
R04_F03,4,3,Macro,NMAE,0.0218114336586038
R04_F03,4,3,UTS,R2,-0.03530841983525368
R04_F03,4,3,UTS,RMSE,4.545403617302796
R04_F03,4,3,UTS,MAE,3.396855127103237
R04_F03,4,3,UTS,NRMSE,0.042494793567907696
R04_F03,4,3,UTS,NMAE,0.03175706044164153
R04_F03,4,3,UTS,MAPE_Percent,0.9134462360289577
R04_F03,4,3,YS,R2,-0.019633280516181628
R04_F03,4,3,YS,RMSE,2.623350124355156
R04_F03,4,3,YS,MAE,2.872193390433985
R04_F03,4,3,YS,NRMSE,0.02107013936757446
R04_F03,4,3,YS,NMAE,0.023068790728780847
R04_F03,4,3,YS,MAPE_Percent,0.9680639157191875
R04_F04,4,4,El,R2,0.006678410674589963
R04_F04,4,4,El,RMSE,-0.039608589050976306
R04_F04,4,4,El,MAE,-0.1230087264925106
R04_F04,4,4,El,NRMSE,-0.0053419512554056525
R04_F04,4,4,El,NMAE,-0.016590003245680385
R04_F04,4,4,El,MAPE_Percent,-1.060244543851109
R04_F04,4,4,Macro,R2,-0.011352928649895677
R04_F04,4,4,Macro,NRMSE,0.010735814002804267
R04_F04,4,4,Macro,NMAE,-0.0002987158517911981
R04_F04,4,4,UTS,R2,-0.01657010728653674
R04_F04,4,4,UTS,RMSE,1.827959140904845
R04_F04,4,4,UTS,MAE,0.8103787967573979
R04_F04,4,4,UTS,NRMSE,0.017418850362272142
R04_F04,4,4,UTS,NMAE,0.007722200503063659
R04_F04,4,4,UTS,MAPE_Percent,0.15731358740073542
R04_F04,4,4,YS,R2,-0.0241670893377407
R04_F04,4,4,YS,RMSE,2.474435405654404
R04_F04,4,4,YS,MAE,0.9798715282272781
R04_F04,4,4,YS,NRMSE,0.02013054290154631
R04_F04,4,4,YS,NMAE,0.007971655187243132
R04_F04,4,4,YS,MAPE_Percent,0.2646964393507769
R04_F05,4,5,El,R2,-0.05876210460271092
R04_F05,4,5,El,RMSE,0.3910966410993737
R04_F05,4,5,El,MAE,0.44255841523474815
R04_F05,4,5,El,NRMSE,0.05316169063388693
R04_F05,4,5,El,NMAE,0.06015687961931365
