Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent
12,2,1,R02_F01,,,El,0.521051460109371,5.899839996130856,3.272439146090546,0.8595956905840635,0.4767882840081746,23.947633818222933
12,2,1,R02_F01,,,Macro,0.73218790202916,,,0.5604265689329725,0.3538628535477086,
12,2,2,R02_F02,,,YS,0.8901271090278526,39.56033745180561,29.96469345679029,0.3316713613971342,0.25122209042753824,8.509245938370713
12,2,2,R02_F02,,,UTS,0.9015480704955908,32.018685329289404,24.532647654320492,0.3097858320327948,0.23735723648244275,5.2033295233418695
12,2,2,R02_F02,,,El,0.7455153132237369,3.2663303055142405,2.1147364814814913,0.4415004958279219,0.28584286272067067,17.070771361513344
12,2,2,R02_F02,,,Macro,0.8457301642490601,,,0.36098589641928364,0.25814072987688386,
12,2,3,R02_F03,,,YS,0.9149385784469476,33.32301460968508,22.33474322916666,0.27331609892797126,0.1831900553252928,7.641591450803323
12,2,3,R02_F03,,,UTS,0.8393398225025813,37.6007456976981,24.603670196759502,0.3544278473815915,0.23191630122532214,6.089361178847208
12,2,3,R02_F03,,,El,0.8876008465596947,2.2937802617621665,1.6085584297839461,0.313784368243715,0.22004744704058854,14.380320927344837
12,2,3,R02_F03,,,Macro,0.8806264158364079,,,0.31384277151775924,0.21171793453040114,
12,2,4,R02_F04,,,YS,0.8044685246514921,51.74778441761468,37.21340654320963,0.42811208394924,0.30786842770877654,13.403951495712588
12,2,4,R02_F04,,,UTS,0.8312958092262862,41.97763141807116,28.616763950616612,0.4037161215591346,0.27521917181688976,7.037021279181651
12,2,4,R02_F04,,,El,0.6994452442095112,3.7419829483911378,2.2821138888888943,0.5107952995015775,0.3115174663938277,16.34996346443486
12,2,4,R02_F04,,,Macro,0.7784031926957632,,,0.44754116833665075,0.2982016886398314,
12,2,5,R02_F05,,,YS,0.8494153907236796,46.88306409289289,34.986810367713915,0.39124151539795354,0.29196668289605804,11.10189610893269
12,2,5,R02_F05,,,UTS,0.9043870368305429,33.06665579674568,25.677735329867794,0.32326488553705435,0.2510296240201412,6.514030476357287
12,2,5,R02_F05,,,El,0.659588391482409,4.177378827608102,2.851710803381556,0.5767146078181317,0.39369742258319607,24.424914641552324
12,2,5,R02_F05,,,Macro,0.8044636063455438,,,0.4304070029177132,0.31223124316646506,
12,3,1,R03_F01,,,YS,0.8855256107161386,43.21090486370974,31.372995448265733,0.3659865891936607,0.2657221743704364,12.113616552438504
12,3,1,R03_F01,,,UTS,0.8996326357557961,36.25064700664973,26.079371249265225,0.36087516895344945,0.259620124960857,6.890165430666492
