Validation_Type,Repeat,Fold,Feature_Order,Feature,Mandatory
Fixed_Composition_Grouped,4,4,10,Zr,False
Fixed_Composition_Grouped,4,4,11,Si,False
Fixed_Composition_Grouped,4,4,12,Cr,False
Fixed_Composition_Grouped,4,5,1,Tsol,True
Fixed_Composition_Grouped,4,5,2,Tage,True
Fixed_Composition_Grouped,4,5,3,tage,True
Fixed_Composition_Grouped,4,5,4,Zn,False
Fixed_Composition_Grouped,4,5,5,Mg,False
Fixed_Composition_Grouped,4,5,6,Cu,False
Fixed_Composition_Grouped,4,5,7,Si,False
Fixed_Composition_Grouped,4,5,8,Fe,False
Fixed_Composition_Grouped,4,5,9,Ti,False
Fixed_Composition_Grouped,4,5,10,Sc,False
Fixed_Composition_Grouped,4,5,11,Zr,False
Fixed_Composition_Grouped,4,5,12,Li,False
Fixed_Composition_Grouped,5,1,1,Tsol,True
Fixed_Composition_Grouped,5,1,2,Tage,True
Fixed_Composition_Grouped,5,1,3,tage,True
Fixed_Composition_Grouped,5,1,4,Zn,False
Fixed_Composition_Grouped,5,1,5,Mg,False
Fixed_Composition_Grouped,5,1,6,Ti,False
Fixed_Composition_Grouped,5,1,7,Cu,False
Fixed_Composition_Grouped,5,1,8,Fe,False
Fixed_Composition_Grouped,5,1,9,Zr,False
Fixed_Composition_Grouped,5,1,10,Li,False
Fixed_Composition_Grouped,5,1,11,Mn,False
Fixed_Composition_Grouped,5,1,12,Cr,False
Fixed_Composition_Grouped,5,2,1,Tsol,True
Fixed_Composition_Grouped,5,2,2,Tage,True
Fixed_Composition_Grouped,5,2,3,tage,True
Fixed_Composition_Grouped,5,2,4,Zn,False
Fixed_Composition_Grouped,5,2,5,Mg,False
Fixed_Composition_Grouped,5,2,6,Zr,False
Fixed_Composition_Grouped,5,2,7,Cu,False
Fixed_Composition_Grouped,5,2,8,Fe,False
Fixed_Composition_Grouped,5,2,9,Ti,False
Fixed_Composition_Grouped,5,2,10,Si,False
Fixed_Composition_Grouped,5,2,11,Sc,False
Fixed_Composition_Grouped,5,2,12,Cr,False
Fixed_Composition_Grouped,5,3,1,Tsol,True
Fixed_Composition_Grouped,5,3,2,Tage,True
Fixed_Composition_Grouped,5,3,3,tage,True
Fixed_Composition_Grouped,5,3,4,Zn,False
Fixed_Composition_Grouped,5,3,5,Mg,False
